year,energy_mwh,revenue,opex,ebitda,tax,cfads,interest,principal,debt_service,equity_cf
1,15786.0,1894266.0,350700.0,1543566.0,216617.0,1326949.0,458010.0,173326.0,631336.0,695614.0
2,15707.0,1884795.0,359467.0,1525327.0,215825.0,1309502.0,442411.0,188925.0,631336.0,678167.0
3,15628.0,1875371.0,368454.0,1506917.0,215403.0,1291514.0,425407.0,205928.0,631336.0,660178.0
4,15550.0,1865994.0,377666.0,1488328.0,215386.0,1272942.0,406874.0,224462.0,631336.0,641606.0
5,15472.0,1856664.0,387107.0,1469557.0,215815.0,1253741.0,386672.0,244663.0,631336.0,622406.0
6,15395.0,1847381.0,396785.0,1450596.0,216733.0,1233863.0,364653.0,266683.0,631336.0,602527.0
7,15318.0,1838144.0,406704.0,1431439.0,218186.0,1213253.0,340651.0,290684.0,631336.0,581917.0
8,15241.0,1828953.0,416872.0,1412081.0,220227.0,1191853.0,314490.0,316846.0,631336.0,560518.0
9,15165.0,1819808.0,427294.0,1392514.0,222912.0,1169602.0,285973.0,345362.0,631336.0,538266.0
10,15089.0,1810709.0,437976.0,1372733.0,226303.0,1146430.0,254891.0,376445.0,631336.0,515095.0
11,15014.0,1801656.0,448926.0,1352730.0,230466.0,1122264.0,221011.0,410325.0,631336.0,490929.0
12,14939.0,1792647.0,460149.0,1332499.0,235475.0,1097023.0,184082.0,447254.0,631336.0,465688.0
13,14864.0,1783684.0,471653.0,1312032.0,241411.0,1070621.0,143829.0,487507.0,631336.0,439285.0
14,14790.0,1774766.0,483444.0,1291322.0,248361.0,1042961.0,99953.0,531383.0,631336.0,411626.0
15,14716.0,1765892.0,495530.0,1270362.0,256420.0,1013942.0,52129.0,579207.0,631336.0,382606.0
16,14642.0,1757062.0,507918.0,1249144.0,265693.0,983451.0,0.0,0.0,0.0,983451.0
17,14569.0,1748277.0,520616.0,1227661.0,259248.0,968413.0,0.0,0.0,0.0,968413.0
18,14496.0,1739536.0,533632.0,1205904.0,252721.0,953183.0,0.0,0.0,0.0,953183.0
19,14424.0,1730838.0,546972.0,1183866.0,246110.0,937756.0,0.0,0.0,0.0,937756.0
20,14352.0,1722184.0,560647.0,1161537.0,239411.0,922126.0,0.0,0.0,0.0,922126.0
21,14280.0,1713573.0,574663.0,1138910.0,341673.0,797237.0,0.0,0.0,0.0,797237.0
22,14208.0,1705005.0,589029.0,1115976.0,334793.0,781183.0,0.0,0.0,0.0,781183.0
23,14137.0,1696480.0,603755.0,1092725.0,327817.0,764907.0,0.0,0.0,0.0,764907.0
24,14067.0,1687998.0,618849.0,1069149.0,320745.0,748404.0,0.0,0.0,0.0,748404.0
25,13996.0,1679558.0,634320.0,1045237.0,313571.0,731666.0,0.0,0.0,0.0,731666.0
