,Base,Downside,Upside
Project IRR (post-tax),0.1628553724813091,0.09377775827495771,0.1804591716662205
Equity IRR,0.29388985622146224,0.07556631571586747,0.37423489387148856
NPV @ 10% (USD m),3.320380148917386,-0.3290872207339462,3.9836562686592583
Min DSCR,1.606026705023269,0.8601922666216472,1.9565795347358668
Avg DSCR,1.8750154236801684,1.1503831619916298,2.246086296270557
LLCR,1.9293463718907176,1.2150026586057014,2.2968142943294243
Equity payback (yrs),4.0,17.0,3.0
"LCOE (USD/kWh, real)",0.07139455144198115,0.08849316644627171,0.06602171330336808
Debt (USD m),5.089,5.8523499999999995,4.68188
Equity (USD m),2.181,2.50815,2.00652
